id_commande;reference;id_client;id_site;id_commercial;canal;date_commande;date_livraison_prevue;date_livraison_reelle;statut;nombre_lignes;montant_ht;remise_pct;montant_ttc;devise
CMD-000001;C2023-000001;CLI-01489;SIT-01873;COM-0011;Appel d’offres;2023-09-11;2023-09-16;2023-09-28;livrée;5;18852.87;0;22623.44;EUR
CMD-000002;C2023-000002;CLI-00224;;COM-0054;Appel d’offres;2023-09-11;2023-09-25;2023-09-23;livrée;6;2757.41;0;3308.89;EUR
CMD-000003;C2023-000003;CLI-00199;;COM-0017;Téléphone;2023-09-11;2023-09-16;2023-09-23;livrée;1;2585.31;0;3102.37;EUR
CMD-000004;C2023-000004;CLI-01458;SIT-01835;COM-0039;Appel d’offres;2023-09-11;2023-09-21;2023-10-03;livrée;3;7279.34;0;8735.21;EUR
CMD-000005;C2023-000005;CLI-00960;SIT-01189;COM-0033;Web;2023-09-11;2023-09-23;2023-10-05;livrée;1;464.18;5;557.02;EUR
CMD-000006;C2023-000006;CLI-01641;SIT-02064;COM-0005;Téléphone;2023-09-11;2023-09-23;2023-09-22;livrée;2;3626.96;10;4352.35;EUR
CMD-000007;C2023-000007;CLI-00984;SIT-01224;COM-0031;Téléphone;2023-09-11;2023-09-21;2023-09-26;livrée;6;15810.2;5;18972.24;EUR
CMD-000008;C2023-000008;CLI-02281;SIT-02874;COM-0011;Téléphone;11/09/2023;2023-09-21;2023-09-19;livrée;4;2180.84;0;2617.01;EUR
CMD-000009;C2023-000009;CLI-02010;SIT-02512;COM-0048;Téléphone;2023-09-11;2023-09-15;2023-09-27;livrée;1;102.9;0;123.48;EUR
CMD-000010;C2023-000010;CLI-01260;;COM-0048;Téléphone;2023-09-11;2023-09-14;2023-09-20;livrée;1;184.91;5;221.89;EUR
CMD-000011;C2023-000011;CLI-02467;SIT-03106;COM-0058;Appel d’offres;2023-09-11;2023-09-22;2023-09-20;livrée;5;10182.55;0;12219.06;EUR
CMD-000012;C2023-000012;CLI-02044;SIT-02557;COM-0048;Web;2023-09-11;2023-09-25;2023-09-25;livrée;2;2713.63;0;3256.36;EUR
