id_facture;numero;id_commande;id_client;date_facture;date_echeance;date_reglement;montant_ht;montant_ttc;statut_reglement;mode_reglement
FAC-000001;FAC-2023-000001;CMD-000001;CLI-01489;2023-09-17;2023-10-17;2023-10-08;18852.87;22623.44;payée;Carte
FAC-000002;FAC-2023-000002;CMD-000002;CLI-00224;2023-09-23;2023-10-23;2023-10-24;2757.41;3308.89;payée;Chèque
FAC-000003;FAC-2023-000003;CMD-000003;CLI-00199;2023-09-26;2023-10-26;2023-10-18;2585.31;3102.37;payée;Chèque
FAC-000004;FAC-2023-000004;CMD-000004;CLI-01458;2023-10-05;2023-11-04;2023-11-04;7279.34;8735.21;payée;Carte
FAC-000005;FAC-2023-000005;CMD-000005;CLI-00960;2023-10-04;2023-11-03;;464.18;557.02;en retard;Virement
FAC-000006;FAC-2023-000006;CMD-000006;CLI-01641;2023-10-05;2023-11-04;;3626.96;4352.35;en retard;Chèque
FAC-000007;FAC-2023-000007;CMD-000007;CLI-00984;2023-09-29;2023-10-29;2023-10-18;15810.2;18972.24;payée;Carte
FAC-000008;FAC-2023-000008;CMD-000008;CLI-02281;2023-09-20;2023-10-20;2023-11-05;2180.84;2617.01;payée;Chèque
FAC-000009;FAC-2023-000009;CMD-000009;CLI-02010;2023-10-02;2023-11-01;2023-10-22;102.9;123.48;payée;Prélèvement
FAC-000010;FAC-2023-000010;CMD-000010;CLI-01260;2023-09-24;2023-10-24;2023-10-13;184.91;221.89;payée;Carte
FAC-000011;FAC-2023-000011;CMD-000011;CLI-02467;2023-09-26;2023-10-26;2023-11-05;10182.55;12219.06;payée;Prélèvement
FAC-000012;FAC-2023-000012;CMD-000012;CLI-02044;2023-09-17;2023-10-17;2023-10-23;2713.63;3256.36;payée;Prélèvement
FAC-000013;FAC-2023-000013;CMD-000013;CLI-01287;2023-09-23;2023-10-23;2023-10-25;13081.86;15698.23;payée;Chèque
FAC-000014;FAC-2023-000014;CMD-000014;CLI-00192;2023-09-23;2023-10-23;2023-11-10;352.96;423.55;payée;Prélèvement
FAC-000015;FAC-2023-000015;CMD-000015;CLI-02062;2023-10-04;2023-11-03;2023-10-22;166.88;200.26;payée;Carte
FAC-000016;FAC-2023-000016;CMD-000016;CLI-02127;2023-09-16;2023-10-16;;2280.1;2736.12;en retard;Virement
FAC-000017;FAC-2023-000017;CMD-000017;CLI-01273;2023-09-22;2023-10-22;2023-10-02;10945.6;13134.72;payée;Prélèvement
FAC-000018;FAC-2023-000018;CMD-000018;CLI-01476;2023-09-30;2023-10-30;;125.33;150.4;en retard;Carte
FAC-000019;FAC-2023-000019;CMD-000019;CLI-00061;2023-09-21;2023-10-21;;5838.47;7006.16;en retard;Chèque
FAC-000020;FAC-2023-000020;CMD-000020;CLI-00010;2023-09-29;2023-10-29;2023-10-09;134.02;160.82;payée;Chèque
FAC-000021;FAC-2023-000021;CMD-000021;CLI-00234;2023-09-25;2023-10-25;2023-10-23;262.92;315.5;payée;Chèque
FAC-000022;FAC-2023-000022;CMD-000022;CLI-01487;2023-09-22;2023-10-22;2023-11-18;4036.07;4843.28;payée;Virement
FAC-000023;FAC-2023-000023;CMD-000023;CLI-00400;2023-09-24;2023-10-24;2023-10-18;1299.15;1558.98;payée;Carte
FAC-000024;FAC-2023-000024;CMD-000024;CLI-01685;2023-09-17;2023-10-17;;5439.62;6527.54;en retard;Chèque
FAC-000025;FAC-2023-000025;CMD-000025;CLI-01528;2023-09-30;2023-10-30;2023-10-12;31025.34;37230.41;payée;Carte
FAC-000026;FAC-2023-000026;CMD-000026;CLI-01721;2023-09-19;2023-10-19;2023-12-18;14.54;17.45;payée;Carte
FAC-000027;FAC-2023-000027;CMD-000027;CLI-02158;2023-09-27;2023-10-27;2023-12-19;752.11;902.53;payée;Virement
FAC-000028;FAC-2023-000028;CMD-000028;CLI-02413;2023-09-25;2023-10-25;2023-10-16;560.64;672.77;payée;Prélèvement
FAC-000029;FAC-2023-000029;CMD-000029;CLI-00717;2023-09-20;2023-10-20;2023-10-19;10385.2;12462.24;payée;Virement
FAC-000030;FAC-2023-000030;CMD-000030;CLI-00882;2023-10-04;2023-11-03;2023-10-22;4567.36;5480.83;payée;Chèque
FAC-000031;FAC-2023-000031;CMD-000031;CLI-00014;2023-10-02;2023-11-01;2023-11-02;1105.68;1326.82;payée;Prélèvement
FAC-000032;FAC-2023-000032;CMD-000032;CLI-01478;2023-10-04;2023-11-03;2023-10-30;10319.89;12383.87;payée;Chèque
FAC-000033;FAC-2023-000033;CMD-000033;CLI-02011;2023-10-05;2023-11-04;2023-10-22;6261.79;7514.15;payée;Chèque
FAC-000034;FAC-2023-000034;CMD-000034;CLI-01794;2023-09-20;2023-10-20;2023-10-11;19.42;23.3;payée;Virement
FAC-000035;FAC-2023-000035;CMD-000035;CLI-00527;2023-10-04;2023-11-03;2023-10-18;2601.39;3121.67;payée;Prélèvement
FAC-000036;FAC-2023-000036;CMD-000036;CLI-00974;2023-09-29;2023-10-29;2023-10-28;1381.78;1658.14;payée;Virement
FAC-000037;FAC-2023-000037;CMD-000037;CLI-01386;2023-09-20;2023-10-20;2023-10-11;732.7;879.24;payée;Prélèvement
FAC-000038;FAC-2023-000038;CMD-000038;CLI-01079;2023-09-27;2023-10-27;2024-01-01;165.36;198.43;payée;Prélèvement
FAC-000039;FAC-2023-000039;CMD-000039;CLI-01448;2023-09-20;2023-10-20;2023-11-03;0;0;payée;Virement
FAC-000040;FAC-2023-000040;CMD-000040;CLI-01034;2023-09-27;2023-10-27;2023-10-19;24.78;29.74;payée;Virement
FAC-000041;FAC-2023-000041;CMD-000041;CLI-00327;2023-10-06;2023-11-05;2023-10-25;12336.26;14803.51;payée;Chèque
FAC-000042;FAC-2023-000042;CMD-000042;CLI-01916;2023-10-05;2023-11-04;2023-10-23;2045.39;2454.47;payée;Chèque
FAC-000043;FAC-2023-000043;CMD-000043;CLI-01581;2023-10-06;2023-11-05;2023-11-02;1264.95;1517.94;payée;Prélèvement
FAC-000044;FAC-2023-000044;CMD-000044;CLI-01057;2023-09-25;2023-10-25;2024-01-07;11520.28;13824.34;payée;Chèque
FAC-000045;FAC-2023-000045;CMD-000045;CLI-01700;2023-10-04;2023-11-03;;2835.8;3402.96;en retard;Virement
FAC-000046;FAC-2023-000046;CMD-000046;CLI-02190;2023-09-17;2023-10-17;2023-11-06;2863.85;3436.62;payée;Virement
FAC-000047;FAC-2023-000047;CMD-000047;CLI-00899;2023-09-19;2023-10-19;2023-10-04;216.91;260.29;payée;Carte
FAC-000048;FAC-2023-000048;CMD-000048;CLI-00626;2023-09-29;2023-10-29;2023-10-10;1455.94;1747.13;payée;Carte
FAC-000049;FAC-2023-000049;CMD-000049;CLI-00023;2023-10-03;2023-11-02;2023-11-01;91.05;109.26;payée;Chèque
