id_releve;id_site;horodatage;energie_kwh;puissance_max_kw;temperature_c;qualite_mesure
REL-0000001;SIT-00001;2025-09-10 00:00:00;20.75;42;15.5;valide
REL-0000002;SIT-00001;2025-09-10 01:00:00;23.88;38.3;11.7;valide
REL-0000003;SIT-00001;2025-09-10 02:00:00;23.91;41.9;15;valide
REL-0000004;SIT-00001;2025-09-10 03:00:00;21.26;34.9;15.2;valide
REL-0000005;SIT-00001;2025-09-10 04:00:00;20.96;33.2;14.1;valide
REL-0000006;SIT-00001;2025-09-10 05:00:00;21.61;37.1;15.8;valide
REL-0000007;SIT-00001;2025-09-10 06:00:00;55.27;102.7;16.5;valide
REL-0000008;SIT-00001;2025-09-10 07:00:00;53.59;112.9;17.3;valide
REL-0000009;SIT-00001;2025-09-10 08:00:00;101.1;217.5;19.8;valide
REL-0000010;SIT-00001;2025-09-10 09:00:00;106.12;204.8;20.5;estimée
REL-0000011;SIT-00001;2025-09-10 10:00:00;94.82;166.2;21.8;valide
REL-0000012;SIT-00001;2025-09-10 11:00:00;107.45;236.2;20.8;valide
REL-0000013;SIT-00001;2025-09-10 12:00:00;93.4;190.4;23.5;valide
REL-0000014;SIT-00001;2025-09-10 13:00:00;84.28;179.8;21.8;valide
REL-0000015;SIT-00001;2025-09-10 14:00:00;96.39;155.4;20.6;valide
REL-0000016;SIT-00001;2025-09-10 15:00:00;104.6;223.6;19.6;valide
REL-0000017;SIT-00001;2025-09-10 16:00:00;94.74;180.6;20;valide
REL-0000018;SIT-00001;2025-09-10 17:00:00;109.86;201.5;18.3;valide
REL-0000019;SIT-00001;2025-09-10 18:00:00;57.59;112.9;18.5;valide
REL-0000020;SIT-00001;2025-09-10 19:00:00;59.11;89.5;17.1;valide
REL-0000021;SIT-00001;2025-09-10 20:00:00;64;136.8;15.5;valide
REL-0000022;SIT-00001;2025-09-10 21:00:00;28.55;51.5;15.3;valide
REL-0000023;SIT-00001;2025-09-10 22:00:00;32.95;54;12.2;valide
REL-0000024;SIT-00001;2025-09-10 23:00:00;29.43;41.3;14.9;valide
REL-0000025;SIT-00001;2025-09-11 00:00:00;22.59;42.2;12.6;valide
REL-0000026;SIT-00001;2025-09-11 01:00:00;21.44;31.9;12.2;valide
REL-0000027;SIT-00001;2025-09-11 02:00:00;23.46;47.2;13.1;valide
REL-0000028;SIT-00001;2025-09-11 03:00:00;21.35;37.5;13.9;valide
