id_ticket;id_client;id_contact;canal;categorie;priorite;date_ouverture;date_cloture;delai_resolution_h;satisfaction;agent
TIC-000001;CLI-00773;CTC-004124;Courriel;Réclamation;normale;2024-03-08;;;;Alain Morel
TIC-000002;CLI-01670;CTC-003685;Agence;Réclamation;haute;2024-05-11;2024-05-12;24;4;Camille Bertrand
TIC-000003;CLI-00010;CTC-007823;Formulaire web;Réclamation;haute;2026-08-21;2026-08-23;70;4;Vincent Richard
TIC-000004;CLI-01407;;Téléphone;Demande d’information;basse;2023-12-29;2023-12-29;22;5;Virginie Henry
TIC-000005;CLI-01634;CTC-001035;Agence;Facturation;normale;2026-01-17;2026-01-19;50;4;Catherine Chevalier
TIC-000006;CLI-02482;;Téléphone;Facturation;basse;2024-03-29;2024-03-30;28;4;Maxime Muller
TIC-000007;CLI-01044;CTC-004970;Courriel;Facturation;haute;2024-03-23;2024-03-24;46;4;Pauline Durand
TIC-000008;CLI-01599;CTC-002562;Courriel;Retour;normale;2024-04-03;;;;Catherine Dumont
TIC-000009;CLI-00850;CTC-004924;Formulaire web;Facturation;normale;2026-03-20;2026-03-22;48;4;Fanny Clément
TIC-000010;CLI-02430;;Formulaire web;Retour;basse;2023-09-20;2023-09-23;85;4;Virginie Henry
TIC-000011;CLI-01231;CTC-002845;Formulaire web;Retour;normale;2025-03-16;;;;Fanny Clément
TIC-000012;CLI-01287;;Agence;Réclamation;normale;2023-12-09;2023-12-11;58;3;Manon Michel
TIC-000013;CLI-00048;;Téléphone;Facturation;normale;2023-10-13;2023-10-13;1;3;Alexandre Chevalier
TIC-000014;CLI-00312;CTC-003918;Courriel;Produit défectueux;basse;2025-12-10;;;;Virginie Henry
TIC-000015;CLI-01143;;Courriel;Demande d’information;normale;2024-01-15;2024-01-15;1;4;Alexandre Chevalier
TIC-000016;CLI-01770;CTC-000896;Courriel;Livraison;haute;2024-01-08;2024-01-08;14;5;Manon Michel
TIC-000017;CLI-01406;;Courriel;Retour;basse;2025-10-09;;;;Catherine Dumont
TIC-000018;CLI-00731;CTC-004835;Agence;Produit défectueux;normale;2024-04-12;;;;Julie Dubois
