id_site;id_client;libelle;type_site;adresse;code_postal;ville;code_insee;region;latitude;longitude;surface_m2;date_ouverture;date_fermeture;actif
SIT-00001;CLI-00002;Siège Annecy;Siège;94 quai des Docks;74000;Annecy;74010;Auvergne-Rhône-Alpes;45.9177;6.135;1584;2020-01-20;;oui
SIT-00002;CLI-00003;Siège Roubaix;Siège;22 rue Pasteur;59100;Roubaix;59512;Hauts-de-France;50.7305;3.1881;777;2024-04-01;;oui
SIT-00003;CLI-00003;Point de vente La Rochelle;Point de vente;76 avenue Jean Jaurès;17000;La Rochelle;17300;Nouvelle-Aquitaine;46.1717;-1.102;1648;2020-01-22;;oui
SIT-00004;CLI-00004;Siège Bayonne;Siège;25 avenue Jean Jaurès;64100;Bayonne;64102;Nouvelle-Aquitaine;43.4985;-1.5237;1402;2022-08-23;;oui
SIT-00005;CLI-00006;Siège Niort;Siège;113 rue des Acacias;79000;Niort;79191;Nouvelle-Aquitaine;46.2862;-0.4653;1480;2025-02-27;;oui
SIT-00006;CLI-00006;Usine Le Havre;Usine;103 rue de la République;76600;Le Havre;76351;Normandie;49.5245;0.0904;1350;2022-08-02;;oui
SIT-00007;CLI-00007;Siège Tarbes;Siège;171 allée des Peupliers;65000;Tarbes;65440;Occitanie;43.2157;0.0898;178;2022-01-25;;oui
SIT-00008;CLI-00008;Siège Cergy;Siège;60 place du Marché;95000;Cergy;95127;Île-de-France;49.0761;2.076;1037;2024-08-31;;oui
SIT-00009;CLI-00009;Siège Amiens;Siège;117 rue des Acacias;80000;Amiens;80021;Hauts-de-France;49.928;2.2826;40;2025-03-15;;oui
SIT-00010;CLI-00010;Siège Évreux;Siège;74 quai des Docks;27000;Évreux;27229;Normandie;49.0401;1.173;1201;2022-03-28;;oui
SIT-00011;CLI-00010;Entrepôt Gap;Entrepôt;49 avenue du Général Leclerc;05000;Gap;05061;Provence-Alpes-Côte d’Azur;44.5943;6.1016;1700;2018-10-20;2023-08-18;non
SIT-00012;CLI-00010;Usine Le Mans;Usine;122 allée des Peupliers;72000;Le Mans;72181;Pays de la Loire;48.0147;0.1683;40;2024-06-29;;oui
SIT-00013;CLI-00011;Siège Grenoble;Siège;54 avenue Jean Jaurès;38000;Grenoble;38185;Auvergne-Rhône-Alpes;45.2396;5.7279;40;2023-05-19;;oui
SIT-00014;CLI-00014;Siège Calais;Siège;4 avenue du Général Leclerc;62100;Calais;62193;Hauts-de-France;50.9506;1.8183;1588;2018-01-09;;oui
SIT-00015;CLI-00015;Siège Arles;Siège;46 rue de l’Industrie;13200;Arles;13004;Provence-Alpes-Côte d’Azur;43.644;4.6252;1099;2023-01-23;;oui
SIT-00016;CLI-00015;Usine Cholet;Usine;4 rue des Acacias;49300;Cholet;49099;Pays de la Loire;47.0958;-0.8329;1805;2024-10-17;;oui
SIT-00017;CLI-00019;Siège Créteil;Siège;37 avenue Jean Jaurès;94000;Créteil;94028;Île-de-France;48.7587;2.4519;1197;2017-08-06;;oui
SIT-00018;CLI-00021;Siège Narbonne;Siège;25 avenue Jean Jaurès;11100;Narbonne;11262;Occitanie;43.1348;2.9856;40;2016-07-04;;oui
SIT-00019;CLI-00023;Siège Albi;Siège;151 rue Pasteur;81000;Albi;81004;Occitanie;43.8933;2.1879;533;2024-10-28;;oui
SIT-00020;CLI-00024;Siège Salon-de-Provence;Siège;90 place du Marché;13300;Salon-de-Provence;13103;Provence-Alpes-Côte d’Azur;43.6119;5.0948;40;2020-11-11;;oui
SIT-00021;CLI-00025;Siège cholet;Siège;91 rue de l’Industrie;49300;cholet;49099;Pays de la Loire;47.0383;-0.8689;1856;2020-08-28;2021-03-25;non
SIT-00022;CLI-00025;Usine Niort;Usine;78 chemin des Vignes;79000;Niort;79191;Nouvelle-Aquitaine;46.3005;-0.4223;1100;2026-05-30;;oui
SIT-00023;CLI-00025;Usine Montpellier;Usine;113 impasse des Lilas;34000;Montpellier;34172;Occitanie;43.5634;3.9007;797;2025-05-15;;oui
SIT-00024;CLI-00027;Siège Poitiers;Siège;88 quai des Docks;86000;Poitiers;86194;Nouvelle-Aquitaine;46.6195;0.3043;229;2022-12-17;;oui
SIT-00025;CLI-00028;Siège Paris;Siège;172 rue de l’Industrie;69001;Paris;75056;Île-de-France;48.8903;2.3621;98;2019-09-23;;oui
SIT-00026;CLI-00029;Siège Blois;Siège;161 rue des Acacias;41000;Blois;41018;Centre-Val de Loire;47.6302;1.3452;2681;2023-05-19;;oui
SIT-00027;CLI-00030;Siège Lille;Siège;19 rue du Commerce;59000;Lille;59350;Hauts-de-France;50.672;3.0263;796;2023-05-27;;oui
SIT-00028;CLI-00031;Siège Cholet;Siège;74 rue de l’Industrie;49300;Cholet;49099;Pays de la Loire;47.0823;-0.9023;1448;2024-12-10;;oui
SIT-00029;CLI-00031;Point de vente Tours;Point de vente;70 boulevard Victor Hugo;37000;Tours;37261;Centre-Val de Loire;47.3574;0.6835;957;2022-03-21;;oui
SIT-00030;CLI-00031;Usine Rouen;Usine;135 chemin des Vignes;76000;Rouen;76540;Normandie;49.4;1.0652;804;2020-11-28;;oui
SIT-00031;CLI-00032;Siège Gap;Siège;125 avenue de la Gare;05000;Gap;05061;Provence-Alpes-Côte d’Azur;44.5434;6.0983;2630;2020-01-13;;oui
SIT-00032;CLI-00032;Agence Annecy;Agence;68 boulevard Victor Hugo;74000;Annecy;74010;Auvergne-Rhône-Alpes;45.8748;6.1468;644;2022-06-22;;oui
SIT-00033;CLI-00032;Agence Grenoble;Agence;113 rue des Acacias;38000;Grenoble;38185;Auvergne-Rhône-Alpes;45.1763;5.7416;583;2020-09-20;;oui
SIT-00034;CLI-00033;Siège Saint-Brieuc;Siège;126 avenue du Général Leclerc;22000;Saint-Brieuc;22278;Bretagne;48.555;-2.7371;903;2024-02-22;;oui
SIT-00035;CLI-00035;Siège Bordeaux;Siège;143 avenue de la Gare;33000;Bordeaux;33063;Nouvelle-Aquitaine;44.8739;-0.5673;744;2021-04-04;;oui
SIT-00036;CLI-00036;Siège Issy-les-Moulineaux;Siège;124 avenue de la Gare;92130;Issy-les-Moulineaux;92040;Île-de-France;48.7794;2.2564;1825;2020-04-04;;oui
SIT-00037;CLI-00037;Siège Nice;Siège;173 boulevard Victor Hugo;06000;Nice;06088;Provence-Alpes-Côte d’Azur;43.7385;7.3012;835;2020-02-08;;oui
SIT-00038;CLI-00037;Entrepôt Orléans;Entrepôt;176 chemin des Vignes;45000;Orléans;45234;Centre-Val de Loire;47.8657;1.8994;1268;2023-09-25;;oui
SIT-00039;CLI-00039;Siège Évry-Courcouronnes;Siège;1 rue de l’Industrie;91000;Évry-Courcouronnes;91228;Île-de-France;48.6188;2.4262;1351;2022-02-08;;oui
SIT-00040;CLI-00040;Siège Limoges;Siège;52 quai des Docks;87000;Limoges;87085;Nouvelle-Aquitaine;45.8714;1.2232;521;2023-06-12;;oui
SIT-00041;CLI-00040;Entrepôt Meaux;Entrepôt;97 place du Marché;77100;Meaux;77284;Île-de-France;48.9864;2.8611;40;2021-12-02;2023-05-30;non
SIT-00042;CLI-00041;Siège Saint-Brieuc;Siège;3 avenue de la Gare;22000;Saint-Brieuc;22278;Bretagne;48.4888;-2.7805;1616;2023-07-23;;oui
SIT-00043;CLI-00042;Siège Saint-Malo;Siège;130 rue Pasteur;10000;Saint-Malo;35288;Bretagne;48.6666;-2.061;40;2025-01-02;;oui
SIT-00044;CLI-00042;Usine Bordeaux;Usine;114 chemin des Vignes;33000;Bordeaux;33063;Nouvelle-Aquitaine;44.8356;-0.5456;1165;2023-01-09;;oui
SIT-00045;CLI-00043;Siège Tours;Siège;107 chemin des Vignes;37000;Tours;37261;Centre-Val de Loire;47.4342;0.6894;40;2019-12-28;;oui
SIT-00046;CLI-00043;Point de vente Créteil;Point de vente;70 rue de la République;94000;Créteil;94028;Île-de-France;48.789;2.4149;1216;2022-12-02;;oui
SIT-00047;CLI-00043;Agence Caen;Agence;1 rue Pasteur;14000;Caen;14118;Normandie;49.1495;-0.4033;40;2020-12-06;;oui
SIT-00048;CLI-00044;Siège laval;Siège;51 rue de la République;53000;laval;53130;Pays de la Loire;48.105;-0.8027;1285;2017-07-13;;oui
SIT-00049;CLI-00045;Siège Nevers;Siège;78 allée des Peupliers;58000;Nevers;58194;Bourgogne-Franche-Comté;46.9492;3.1848;1090;2021-01-13;;oui
SIT-00050;CLI-00045;Point de vente Niort;Point de vente;152 rue de l’Industrie;79000;Niort;79191;Nouvelle-Aquitaine;46.3265;-0.5069;596;2020-12-24;;oui
SIT-00051;CLI-00045;Usine Cannes;Usine;8 rue de l’Industrie;06400;Cannes;06029;Provence-Alpes-Côte d’Azur;43.5095;7.0429;1187;2025-06-17;;oui
SIT-00052;CLI-00046;Siège Grasse;Siège;67 avenue de la Gare;06130;Grasse;06069;Provence-Alpes-Côte d’Azur;43.6852;6.9674;80;2017-10-12;;oui
SIT-00053;CLI-00046;Entrepôt Nantes;Entrepôt;94 quai des Docks;44000;Nantes;44109;Pays de la Loire;47.2416;-1.5928;40;2024-06-20;;oui
SIT-00054;CLI-00046;Agence Sète;Agence;16 rue du Commerce;34200;Sète;34301;Occitanie;43.3895;3.679;933;2018-09-15;2022-11-11;non
SIT-00055;CLI-00046;Agence Saint-Nazaire;Agence;30 rue Pasteur;44600;Saint-Nazaire;44184;Pays de la Loire;47.3004;-2.2477;1040;2021-07-01;;oui
SIT-00056;CLI-00051;Siège Caen;Siège;179 rue de l’Industrie;14000;Caen;14118;Normandie;49.2119;-0.3678;669;2022-06-17;;oui
SIT-00057;CLI-00051;Usine Amiens;Usine;16 impasse des Lilas;80000;Amiens;80021;Hauts-de-France;49.9275;2.2834;1590;2016-07-06;;oui
