id_ligne;id_commande;id_produit;libelle_produit;quantite;prix_unitaire;remise_pct;montant_ligne
LIG-0000001;CMD-000001;PRD-0026;Protection compact;8;14.12;0;112.96
LIG-0000002;CMD-000001;PRD-0019;Film compact;5;41.29;0;206.45
LIG-0000003;CMD-000001;PRD-0050;Bureau standard;16;308.09;0;4929.44
LIG-0000004;CMD-000001;PRD-0004;Consommable économique;15;869.98;0;13049.7
LIG-0000005;CMD-000001;PRD-0105;Carton économique;13;42.64;0;554.32
LIG-0000006;CMD-000002;PRD-0049;Nettoyage professionnel;3;27.78;0;83.34
LIG-0000007;CMD-000002;PRD-0177;Nettoyage premium;16;103.15;0;1650.4
LIG-0000008;CMD-000002;PRD-0176;Hygiène économique;9;59.86;0;538.74
LIG-0000009;CMD-000002;PRD-0029;Électroportatif premium;14;0;20;0
LIG-0000010;CMD-000002;PRD-0093;Film premium;1;33.18;0;33.18
LIG-0000011;CMD-000002;PRD-0109;Hygiène professionnel;13;34.75;0;451.75
LIG-0000012;CMD-000003;PRD-0041;Main renforcé;7;369.33;0;2585.31
LIG-0000013;CMD-000004;PRD-0127;Périphérique recyclé;4;1658.24;0;6632.96
LIG-0000014;CMD-000004;PRD-0117;Hygiène professionnel;7;89.98;0;629.86
LIG-0000015;CMD-000004;PRD-0147;Papier économique;4;4.13;0;16.52
LIG-0000016;CMD-000005;PRD-0177;Nettoyage premium;5;103.15;10;464.18
LIG-0000017;CMD-000006;PRD-0108;Mesure recyclé;9;429.07;20;3089.3
LIG-0000018;CMD-000006;PRD-0069;Protection professionnel;9;59.74;0;537.66
LIG-0000019;CMD-000007;PRD-0047;Papier recyclé;10;18.64;0;186.4
LIG-0000020;CMD-000007;PRD-0037;Protection grand format;5;61.86;0;309.3
LIG-0000021;CMD-000007;PRD-0143;Consommable standard;1;212.9;0;212.9
LIG-0000022;CMD-000007;PRD-0144;Réseau professionnel;8;1782.85;0;14262.8
LIG-0000023;CMD-000007;PRD-0133;Carton standard;18;16.73;0;301.14
LIG-0000024;CMD-000007;PRD-0069;Protection professionnel;9;59.74;0;537.66
LIG-0000025;CMD-000008;PRD-0006;Film standard;16;30.94;0;495.04
LIG-0000026;CMD-000008;PRD-0138;Nettoyage économique;12;79.5;20;763.2
LIG-0000027;CMD-000008;PRD-0119;Mesure recyclé;1;358.78;5;340.84
LIG-0000028;CMD-000008;PRD-0129;Film économique;20;32.32;10;581.76
LIG-0000029;CMD-000009;PRD-0094;Protection grand format;3;34.3;0;102.9
LIG-0000030;CMD-000010;PRD-0057;Nettoyage compact;11;16.81;0;184.91
LIG-0000031;CMD-000011;PRD-0054;Main renforcé;19;260.86;0;4956.34
LIG-0000032;CMD-000011;PRD-0141;Hygiène compact;21;32.54;0;683.34
LIG-0000033;CMD-000011;PRD-0151;Main recyclé;1;124.66;0;124.66
LIG-0000034;CMD-000011;PRD-0010;Main renforcé;18;222.39;0;4003.02
LIG-0000035;CMD-000011;PRD-0060;Réseau recyclé;1;415.19;0;415.19
LIG-0000036;CMD-000012;PRD-0141;Hygiène compact;16;32.54;10;468.58
LIG-0000037;CMD-000012;PRD-0158;Bureau renforcé;5;449.01;0;2245.05
LIG-0000038;CMD-000013;PRD-0100;Périphérique compact;14;768.68;0;10761.52
LIG-0000039;CMD-000013;PRD-0131;Film recyclé;9;14.54;0;130.86
LIG-0000040;CMD-000013;PRD-0165;Mesure renforcé;13;260.45;10;3047.27
LIG-0000041;CMD-000014;PRD-0104;Protection renforcé;11;7.67;10;75.93
LIG-0000042;CMD-000014;PRD-0021;Film professionnel;8;31.13;20;199.23
LIG-0000043;CMD-000014;PRD-0098;Classement renforcé;10;7.78;0;77.8
LIG-0000044;CMD-000015;PRD-0020;Périphérique recyclé;6;0;5;0
LIG-0000045;CMD-000015;PRD-0063;Nettoyage renforcé;1;86.74;0;86.74
LIG-0000046;CMD-000015;PRD-0174;Classement grand format;7;14.31;20;80.14
LIG-0000047;CMD-000016;PRD-0019;Film compact;1;41.29;15;35.1
LIG-0000048;CMD-000016;PRD-0110;Mesure renforcé;5;142.33;0;711.65
LIG-0000049;CMD-000016;PRD-0056;Électroportatif standard;13;117.95;0;1533.35
LIG-0000050;CMD-000017;PRD-0079;Rangement premium;11;734.76;5;7678.24
LIG-0000051;CMD-000017;PRD-0171;Main compact;16;204.21;0;3267.36
LIG-0000052;CMD-000018;PRD-0115;Siège grand format;1;121.28;0;121.28
LIG-0000053;CMD-000018;PRD-0022;Classement standard;1;4.05;0;4.05
LIG-0000054;CMD-000019;PRD-0152;Consommable recyclé;11;530.77;0;5838.47
LIG-0000055;CMD-000020;PRD-0114;Mesure recyclé;1;141.07;5;134.02
LIG-0000056;CMD-000021;PRD-0126;Carton économique;7;37.56;0;262.92
LIG-0000057;CMD-000022;PRD-0140;Périphérique recyclé;7;577.61;10;3638.94
LIG-0000058;CMD-000022;PRD-0011;Siège professionnel;1;397.13;0;397.13
LIG-0000059;CMD-000023;PRD-0109;Hygiène professionnel;17;34.75;0;590.75
LIG-0000060;CMD-000023;PRD-0136;Bureau économique;11;64.4;0;708.4
LIG-0000061;CMD-000024;PRD-0117;Hygiène professionnel;1;89.98;0;89.98
LIG-0000062;CMD-000024;PRD-0058;Nettoyage premium;10;22.04;5;209.38
LIG-0000063;CMD-000024;PRD-0044;Siège grand format;5;914.38;5;4343.3
LIG-0000064;CMD-000024;PRD-0091;Électroportatif standard;4;199.24;0;796.96
LIG-0000065;CMD-000025;PRD-0041;Main renforcé;10;369.33;0;3693.3
LIG-0000066;CMD-000025;PRD-0073;Périphérique professionnel;18;1490.22;0;26823.96
LIG-0000067;CMD-000025;PRD-0025;Écriture compact;6;15.91;0;95.46
LIG-0000068;CMD-000025;PRD-0019;Film compact;11;41.29;15;386.06
LIG-0000069;CMD-000025;PRD-0112;Hygiène standard;1;26.56;0;26.56
LIG-0000070;CMD-000026;PRD-0131;Film recyclé;1;14.54;0;14.54
LIG-0000071;CMD-000027;PRD-0141;Hygiène compact;3;32.54;10;87.86
LIG-0000072;CMD-000027;PRD-0153;Papier grand format;5;5.11;0;25.55
LIG-0000073;CMD-000027;PRD-0143;Consommable standard;3;212.9;0;638.7
LIG-0000074;CMD-000028;PRD-0169;Mesure premium;12;46.72;0;560.64
LIG-0000075;CMD-000029;PRD-0152;Consommable recyclé;7;530.77;10;3343.85
LIG-0000076;CMD-000029;PRD-0046;Consommable grand format;7;1058.85;5;7041.35
LIG-0000077;CMD-000030;PRD-0103;Bureau grand format;3;905.69;0;2717.07
LIG-0000078;CMD-000030;PRD-0110;Mesure renforcé;13;142.33;0;1850.29
LIG-0000079;CMD-000031;PRD-0141;Hygiène compact;7;32.54;0;227.78
LIG-0000080;CMD-000031;PRD-0155;Palette compact;18;27.98;0;503.64
LIG-0000081;CMD-000031;PRD-0095;Palette standard;16;25.99;10;374.26
LIG-0000082;CMD-000032;PRD-0003;Mesure standard;19;522.66;0;9930.54
LIG-0000083;CMD-000032;PRD-0026;Protection compact;13;14.12;15;156.03
LIG-0000084;CMD-000032;PRD-0078;Classement grand format;4;2.37;0;9.48
LIG-0000085;CMD-000032;PRD-0155;Palette compact;10;27.98;20;223.84
LIG-0000086;CMD-000033;PRD-0055;Électroportatif recyclé;11;176.8;0;1944.8
LIG-0000087;CMD-000033;PRD-0163;Mesure grand format;10;422.36;0;4223.6
LIG-0000088;CMD-000033;PRD-0021;Film professionnel;3;31.13;0;93.39
LIG-0000089;CMD-000034;PRD-0175;Film grand format;1;19.42;0;19.42
LIG-0000090;CMD-000035;PRD-0027;Palette premium;1;40.14;0;40.14
LIG-0000091;CMD-000035;PRD-0158;Bureau renforcé;4;449.01;0;1796.04
LIG-0000092;CMD-000035;PRD-0038;Film renforcé;18;28.5;0;513
LIG-0000093;CMD-000035;PRD-0133;Carton standard;9;16.73;10;135.51
LIG-0000094;CMD-000035;PRD-0081;Nettoyage standard;6;19.45;0;116.7
